一四九二,1492年【歴】アメリカ大陸発見（コロンブス）
一四二七,1427年【歴】正長の土一揆
一四六七,1467年～【歴】応仁の乱
一夕,いっせき
一大,いちだい
一天,いってん
一天下,いってんか
一女,いちじょ
一子,いっし／ひと（つ）ご
一字,いちじ
一字一石,いちじいっせき
一字千金,いちじせんきん＝すぐれている文
一山,ひとやま
一山百文,ひとやまひゃくもん
一年,いちねん
一年中,いちねんじゅう
一年生,いちねんせい
一年目,いちねんめ
一年草,いちねんそう
一手,いって／ひとて
一手目,いってめ
一文,いちぶん／いちもん
一文一字,いちもんいちじ
一文字,ひともじ／いちもんじ【人】
一文字目,ひともじめ
一文目,いちぶんめ
一日,ついたち／いちにち
一日中,いちにちじゅう
一日目,いちにちめ
一月,いちがつ／ひとつき
一月目,ひとつきめ
一木,いちぼく
一木一草,いちぼくいっそう＝すべてのもの
一本,いっぽん／ひともと／ひのもと【人】
一本木,いっぽんぎ【地】
一本木下,いっぽんぎした【地】
一本木山,いっぽんぎやま【山】
一本気,いっぽんぎ
一本目,いっぽんめ
一本立,いっぽんだ（ち）
一本花,いっぽんばな
一村,いっそん
一林,いちばやし【人】
一校,いっこう＝一つの学校
一森,いちもり【人】
一気,いっき
一水,いっすい
一水四見,いっすいしけん＝それぞれの見方
一火,ひとつび
一犬,いっけん
一生,いっしょう
一男,いちなん
一町,いっちょう＝1200/11㎡
一白,いっぱく
一目,いちもく／ひとめ
一目千本,ひとめせんぼん
一石,いっせき
一糸,いっし
一花,いっか／ひとはな
一花草,いちげそう
一草,いっそう
一草一木,いっそういちぼく
一見,いちげん／いっけん
一足,いっそく／ひとあし
一足目,いっそくめ
一金,いちきん
一金二男,いちきんになん
一雨,ひとあめ
一青,ひとと【人】
一音,いちおん
七〇一,701年【歴】大宝律令の制定
七一,しちいちが＝7
七一〇,710年【歴】平城京に都に
七一二,712年【歴】古事記の編纂
七七,しちしち＝49
七七日,しちしちにち／なななぬか／なななのか
七三,しちさん＝21
七下,なな（つ）さが（り）
七下雨,なな（つ）さが（りの）あめ
七九,しちく＝63
七九四,794年【歴】平安京へ都に
七二,しちに＝14
七二〇,720年【歴】日本書紀の編纂
七五,しちご＝35
七五三,しちごさん／しめ【人】
七五三木,しめぎ【人】
七五三本,しめもと【人】
七人,しちにん／ななにん
七人目,しちにんめ／ななにんめ
七八,しちは＝56
七六,しちろく＝42
七円,ななえん
七出,しちしゅつ
七十,しちじゅう70／ななそ
七十二,しちじゅうに72
七十五,しちじゅうご75
七十五日,しちじゅうごにち
七十子,しちじっし
七十年,ななじゅうねん
七十年目,ななじゅうねんめ
七千,ななせん7000
七口,ななくち／なな（つ）ぐち
七口目,ななくちめ
七名,ななめい
七四,しちし＝24
七四三,743年【歴】墾田永年私財法
七夕,たなばた／しちせき
七夕月,たなばたづき
七大,しちだい
七子,しちし
七字,しち（の）じ
七学,しちがく
七小町,ななこまち
七山,ななやま【地】
七山村,ななやまむら【地】
七川,しちかわ【地】
七年,ななねん／しちねん
七年目,ななねんめ／しちねんめ
七手,ななて
七手目,ななてめ
七日,なのか
七日七日,なぬかなぬか
七日日,なぬかび
七日正月,なぬかしょうがつ
七日目,なのかめ
七月,しちがつ
七月子,ななつきご
七木田,ななきだ【人】
七本,ななほん
七本木,ななほんぎ【地】
七本目,ななほんめ
七村,ななむら【地】
七林,ななばやし【人】
七森,しちもり【地】
七生,しちしょう
七町,ななまち【人】
七町目,ななちょうめ【地】
七百,ななひゃく
七百一,701年【歴】大宝律令の制定
七百二十,720年【歴】日本書紀の編纂
七百十,710年【歴】平城京に都に
七立,なな（つ）だ（ち）
七草,ななくさ【植】
七赤,しちせき
七車,ななくるま＝数多くの車
七金山,しちこんせん
七音,しちおん／しちいん
三一,さんぴん／さんいちが＝3
三一一,さんいちいち【歴】2011年東日本大震災
三一五,さんいちご【歴】1928年三・一五事件
三一四,3.14＝円周率
三一四一,3.141＝円周率
三一四一五,3.1415＝円周率
三七,さんしち＝21
三七七六,3776m＝富士山の標高
三七日,さんしちにち／みなぬか
三三,さざんが＝9
三三七,さんさんなな
三三三,333m＝東京タワーの高さ
三三五五,さんさんごご＝散らばる
三上,みかみ
三下,さんした／さんさが（り）
三中,さんちゅう【略】第三中学
三九,さんく【人】／さんく＝27
三九二,みくに【人】
三九日,さんくにち／みくにち
三二,さんに【人】／さんにが＝6
三五,さんご【人】／さご【人】／さんご＝15
三五月,さんご（の）つき
三人,さんにん
三人目,さんにんめ
三八,さんぱち／さんぱ＝24
三六,さぶろく＝18
三円,さんえん
三十,さんじゅう30
三十一,さんじゅういち31
三十一文字,さんじゅういちもじ／みそひともじ
三十七,さんじゅうなな37
三十三,さんじゅうさん33
三十三天,さんじゅうさんてん
三十五,さんじゅうご35
三十六,さんじゅうろく36
三十年,さんじゅうねん
三十年目,さんじゅうねん
三十日,みそか／みとうか【人】／みとうだ【人】
三十日月出,みそか（に）つき（が）で（る）
三十日目,さんじゅうにちめ
三十立,さんじゅう（にして）た（つ）
三千,さんぜん
三口,みくち【人】
三口目,さんくちめ／みくちめ
三名,さんめい
三四,さんし＝12
三四五,さんしご
三夕,さんせき
三大,さんだい
三天,さんてん
三女,さんじょ
三女子,さんよし【地】
三子,さんし
三学,さんがく
三山,さんざん／みっ（つの）やま
三川,みかわ【地】
三川犬林,みかわいぬばやし【地】
三川町,みかわまち【地】
三年,さんねん
三年生,さんねんせい
三年目,さんねん
三年竹,さんねんだけ【植】
三手,さんて／みつで
三手先,みてさき
三手目,さんてめ
三文,さんもん
三文字,さんもんじ【人】
三文字目,さんもんじめ
三日,みっか
三日天下,みっかてんか＝権力をすぐ失う
三日月,みかづき
三日月目,みかづきめ
三日目,みっかめ
三月,さんがつ
三木,さんぼく／みき【地】
三木一草,さんぼくいっそう
三木町,みきちょう【地】
三本,さんぼん
三本木,さんぼんぎ【地】
三本目,さんぼんめ
三村,みむら【地】
三林,みつばやし【人】
三校,さんこう＝三度目の校正
三森,みつもり【人】／みもり【人】／みつのもり【地】
三正,さんせい
三水,さんずい
三王,さんおう／さんのう
三生,さんしょう
三田,みた【地】
三田村,みたむら【人】
三男,さんなん
三町,みまち【地】／さんちょう【地】／さんまち【地】
三白,さんぱく
三百,さんびゃく300
三百六十,さんびゃくろくじゅう360
三百六十五,さんびゃくろくじゅうご365
三百六十五日,さんびゃくろくじゅうごにち
三目,み（つ）め
三立,みつたて
三糸,さん（の）いと
三草,さんそう
三草二木,さんそうにもく＝悟りを得る
三車,みっ（つの）くるま／さんしゃ
三音,さんおん
上一,かみいち【略】上一段活用
上一本木,かみいっぽんぎ【地】
上三川,かみのかわ【地】
上三川町,かみのかわまち【地】
上三花,じょうさんか
上下,じょうげ
上下左右,じょうげさゆう
上下水,じょうげすい
上中下,じょうちゅうげ
上二,かみに【略】上二段活用
上二本木,かみにほんぎ【地】
上人,しょうにん
上土,うわつち
上土,うわつち
上大名,のぼ（り）だいみょう
上天,じょうてん
上天気,じょうてんき
上女,かみおんな
上女中,かみじょちゅう
上山,かみのやま【地】
上川,かみかわ【人／地】
上川町,かみかわちょう【地】
上手,かみて／じょうず
上月,こうづき【人／地】
上木,じょうぼく
上本村,かみほんむら【地】
上村,うえむら【人／地】／かみむら【人／地】
上林,じょうりん／かみばやし【人】
上森,うえもり【人】
上気,じょうき
上水,じょうすい
上水下水,じょうすいげすい
上水本町,じょうすいほんちょう【地】
上火,うわび
上犬田,かみいんだ【地】
上田,うえだ【人／地】
上田休,うえだやすみ【人】
上町,かみちょう【地】
上白,うえしろ／じょうはく
上白金,かみしろかね【地】
上目,うわめ
上石,あげいし
上空,じょうくう
上竹,うえたけ【人】／じょうたけ【地】
上糸,うわいと
上花,じょうか／あがりばな
上見,うえみ（て）／うわみ【地】
上足,あげあし／じょうそく
上青女子,かみあおなご【地】
下一,しもいち【略】下一段活用
下中,したなか【人】／しもなか【人】
下二,しもに【略】下二段活用
下口,しもぐち／したくち
下土,かど
下女,げじょ／しもおなご
下女中,しもじょちゅう
下女田,げじょだ【地】
下学,かがく
下小山田町,しもおやまだまち【地】
下山,げざん
下川,しもかわ【人／地】
下川犬,しもかわいぬ【地】
下川町,しもかわちょう【地】
下手,したて／しもて／へた
下手手出,へた（に）て（を）だ（す）
下本村,しもほんむら【地】
下村,しもむら【人／地】
下林,したばやし【人／地】／しもばやし【人／地】
下校,げこう
下森,したもり【人】
下水,げすい
下火,したび
下田,しもだ【地】
下町,したまち
下白金,しもしろかね【地】
下糸,したいと
下花,さがりばな【植】
下草,したくさ【植】
下見,したみ
下足,げそく
下車,げしゃ
中一,ちゅういち【略】中学一年生
中三,ちゅうさん【略】中学三年生
中上,なかがみ【人】
中下,なかした【人】
中二,ちゅうに【略】中学二年生
中休,なかやす（み）
中入,なかいり
中入生,ちゅうにゅうせい＝中高一貫で中学からの生徒
中六天,ちゅうろくてん
中右,なかう【人】
中四目,なかしもく【碁】
中土,なかつち
中大,ちゅうだい【略】中央大学
中天,ちゅうてん
中女,ちゅうおんな
中学,ちゅうがく
中学一年,ちゅうがくいちねん
中学一年生,ちゅうがくいちねんせい
中学三年,ちゅうがくさんねん
中学三年生,ちゅうがくさんねんせい
中学二年,ちゅうがくにねん
中学二年生,ちゅうがくにねんせい
中学校,ちゅうがっこう
中学生,ちゅうがくせい
中小,ちゅうしょう
中山,なかやま【人／地】
中山町,なかやままち【地】
中川,なかがわ【人／地】
中川村,なかがわむら【地】
中川町,なかがわちょう【地】
中左,なかさ【人】
中年,ちゅうねん
中手,なかで【碁】
中文,ちゅうぶん
中日,ちゅうにち
中日本,なかにほん
中村,なかむら【人／地】
中村森,なかむらもり【地】
中林,なかばやし【人】
中森,なかもり【地】
中火,ちゅうび
中田,なかた
中町,なかまち／なかちょう【地】
中白,ちゅうじろ／ちゅはく／なかじろ
中石,なかいし【人／地】
中空,ちゅうくう
中立,ちゅうりつ
中糸,なかいと
中耳,ちゅうじ
中見,なかみ【人】
中見出,なかみだ（し）
中貝,なかがい【人】
中音,ちゅうおん＝中くらいの音
九一,くいちが＝9
九一一,きゅういちいち【歴】2001年アメリカ同時多発テロ
九一金,くいちきん
九七,くしち＝63
九三,くさん＝27
九三五,935年【歴】平将門の乱
九九,くく＝81
九二,くに＝18
九二一,くにいち
九五,きゅうご／くご＝45
九人,きゅうにん
九人,くにん
九人目,きょうにんめ
九八,くは＝72
九六,くんろく／くろく＝54
九六〇,960年【歴】宋の中国統一
九六四,くろよん
九円,ちゅうえん
九十,きゅうじゅう
九十九,くじゅうく／つくも【人】
九十五,きゅうじゅうご
九十川,くじゅうがわ
九十年,きゅうじゅうねん
九十年目,きゅうじゅうねんめ
九十田,つくだ【人】
九千,きゅうせん
九名,きゅうめい
九四,くし＝36
九大,きゅうだい【略】九州大学
九天,きゅうてん／くてん
九子,きゅうし【碁】
九字,くじ
九年,きゅうねん／くねん
九年目,きゅうねんめ／くねんめ
九手,きゅうて
九手目,きゅうてめ
九日,ここのか
九日目,ここのかめ
九月,くがつ
九月五日,くがついつか
九本,きゅうほん
九本目,きゅうほんめ
